Noxious_Perennial_Grass_Cover_Pct_Any_Hit,Noxious_Annual_Grass_Cover_Pct_Any_Hit,Grass_Cover_Pct_Any_Hit,Average_Grass_Height_cm,Grass_Cover_PCT_Any_Hit_Minus_Noixious,Z_cover,Z_hgt,Total,Quantile,x,y,,
0,0,30.66666667,23.86956522,30.66666667,0.17,0.31,0.48,good,-11784683.73,4408906.96,,
0,0,1.33333333,19,1.33333333,-1.54,-0.3,-1.84,poor,-11783987.76,4410106.802,Z-Score Grass Cover,"z = (x-?)/?, where x is the raw score, "
0,0,33.33333333,12.95833333,33.33333333,0.33,-1.06,-0.73,present,-11788683.77,4405786.364,,"? is the population mean, "
0,0,1.33333333,15.66666667,1.33333333,-1.54,-0.72,-2.26,poor,-11791571.06,4398030.73,? =average(,? is the population standard deviation.
0,0,12.66666667,27.75,12.66666667,-0.88,0.8,-0.08,present,-11772340.06,4397323.314,27.67867892,
0,0,32,10.89655172,32,0.25,-1.32,-1.07,poor,-11795870.55,4401046.688,17.13304946,
0,0,44,20.20689655,44,0.95,-0.15,0.8,good,-11781592.94,4400361.022,Z-Score Grass Hgt,
0,0,48.66666667,24.85714286,48.66666667,1.23,0.44,1.67,good,-11771848.92,4409191.062,?,
0,0,2.66666667,20,2.66666667,-1.46,-0.17,-1.63,poor,-11780528.5,4412968.649,21.3851375,
0,0,40.66666667,19.96296296,40.66666667,0.76,-0.18,0.58,good,-11790854.72,4423777.2,7.917626233,
0,0,22.66666667,12.6,22.66666667,-0.29,-1.11,-1.4,poor,-11790014.93,4429286.492,,
0,0,7.33333333,21.66666667,7.33333333,-1.19,0.04,-1.15,poor,-11769390.43,4411487.927,,
0,0,12,14.30434783,12,-0.92,-0.89,-1.81,poor,-11788274.45,4406998.64,Grass Cover,Grass Cover + Grass Height = total z score?
0,0,46.66666667,12.84615385,46.66666667,1.11,-1.08,0.03,present,-11788395.45,4406255.194,,
0,0,18.66666667,7.15789474,18.66666667,-0.53,-1.8,-2.33,poor,-11794714.84,4402097.164,,
0,0,21.33333333,18.15,21.33333333,-0.37,-0.41,-0.78,present,-11791336.29,4430424.989,,
0,0,12.66666667,15.38888889,12.66666667,-0.88,-0.76,-1.64,poor,-11790778.8,4398822.342,,
0,0,9.33333333,24.22222222,9.33333333,-1.07,0.36,-0.71,present,-11790250.03,4398283.856,,
0,0,27.33333333,23.96153846,27.33333333,-0.02,0.33,0.31,present,-11767045.26,4424730.667,,
0,0,23.33333333,11.51851852,23.33333333,-0.25,-1.25,-1.5,poor,-11789631.99,4405763.437,,
0,0,5.33333333,23.8,5.33333333,-1.3,0.3,-1,poor,-11791005.67,4398066.553,,
0,0,4.66666667,19.71428571,4.66666667,-1.34,-0.21,-1.55,poor,-11790808.3,4397102.56,,
0,0,24.66666667,16.3,24.66666667,-0.18,-0.64,-0.82,present,-11803788.71,4413696.989,,
0,0,30.66666667,12.24,30.66666667,0.17,-1.16,-0.99,poor,-11798934.07,4411425.367,,
0,0,34.66666667,12.66666667,34.66666667,0.41,-1.1,-0.69,present,-11766518.05,4414512.572,,
0,0,75.33333333,23.08695652,75.33333333,2.78,0.21,2.99,good,-11766362.87,4414173.955,,
0,0,53.125,24.82758621,53.125,1.49,0.43,1.92,good,-11781970.31,4406038.145,,
0,0,24,11.65217391,24,-0.21,-1.23,-1.44,poor,-11776300.25,4418635.526,,
0,0,41.33333333,34.85,41.33333333,0.8,1.7,2.5,good,-11781082.09,4405843.611,,
0,0,40,27.75862069,40,0.72,0.8,1.52,good,-11766360.09,4401940.9,,
0,0,36,21.46153846,36,0.49,0.01,0.5,good,-11767093.58,4405962.138,,
0,0,41.33333333,8.12,41.33333333,0.8,-1.68,-0.88,poor,-11788573,4405616.151,,
0,0,32.66666667,17.5862069,32.66666667,0.29,-0.48,-0.19,present,-11774434.65,4412340.603,,
0,0,34,32.08,34,0.37,1.35,1.72,good,-11772786.79,4407215.568,,
0,0,10,13.7,10,-1.03,-0.97,-2,poor,-11792022.24,4432565.135,,
0,0,12.66666667,19,12.66666667,-0.88,-0.3,-1.18,poor,-11794388,4429337.044,,
0,0,21.33333333,15.56,21.33333333,-0.37,-0.74,-1.11,poor,-11790666.15,4406841.052,,
0,0,40,12.93103448,40,0.72,-1.07,-0.35,present,-11796017.27,4399752.745,,
0,0,12.66666667,19.8125,12.66666667,-0.88,-0.2,-1.08,poor,-11766171.63,4411937.684,,
0,0,20.66666667,26.9375,20.66666667,-0.41,0.7,0.29,present,-11781983.22,4409977.109,,
0,0,8.66666667,25.44444444,8.66666667,-1.11,0.51,-0.6,present,-11781739.44,4408553.233,,
0,0,2.66666667,21.625,2.66666667,-1.46,0.03,-1.43,poor,-11775701.68,4409868.96,,
0,0,16,22.60714286,16,-0.68,0.15,-0.53,present,-11773127.53,4415052.988,,
0,0,13.33333333,26.8125,13.33333333,-0.84,0.69,-0.15,present,-11768826.23,4423972.798,,
0,0,19.33333333,20.22727273,19.33333333,-0.49,-0.15,-0.64,present,-11783419.01,4417159.855,,
0,0,51.33333333,26.96551724,51.33333333,1.38,0.7,2.08,good,-11789759.33,4412062.113,,
0,0,55.33333333,25.03333333,55.33333333,1.61,0.46,2.07,good,-11794353.31,4400572.354,,
0,0,30,24.78571429,30,0.14,0.43,0.57,good,-11794754.99,4401726.069,,
0,0,72,29.9,72,2.59,1.08,3.67,good,-11782110.56,4400508.841,,
0,0,5.33333333,15.81818182,5.33333333,-1.3,-0.7,-2,poor,-11797351.77,4426449.485,,
0,0,48.66666667,22.51724138,48.66666667,1.23,0.14,1.37,good,-11787828.83,4422431.773,,
0,0,20,18.60869565,20,-0.45,-0.35,-0.8,poor,-11787727.19,4426221.166,,
0,0,51.33333333,34.27777778,51.33333333,1.38,1.63,3.01,good,-11778961.06,4435250.791,,
0,0,2.66666667,13.5,2.66666667,-1.46,-1,-2.46,poor,-11768692.68,4413174.615,,
0,0,7.33333333,32.14285714,7.33333333,-1.19,1.36,0.17,present,-11769019.02,4412061.141,,
0,0,30,22.54166667,30,0.14,0.15,0.29,present,-11767495.2,4406056.206,,
0,0,39.33333333,30.96296296,39.33333333,0.68,1.21,1.89,good,-11765840.68,4402294.177,,
0,0,16,30.21052632,16,-0.68,1.11,0.43,good,-11772913.46,4397517.409,,
0,0,32,32.5,32,0.25,1.4,1.65,good,-11772929.6,4409330.333,,
0,0,30,23.03571429,30,0.14,0.21,0.35,present,-11767112.04,4413633.161,,
0,0,46.66666667,41.23076923,46.66666667,1.11,2.51,3.62,good,-11774559.32,4397142.539,,
0,0,14,12.71428571,14,-0.8,-1.1,-1.9,poor,-11794192.41,4428295.715,,
0,0,23.33333333,17.73076923,23.33333333,-0.25,-0.46,-0.71,present,-11789919.41,4429181.212,,
0,0,18.66666667,36,18.66666667,-0.53,1.85,1.32,good,-11791861.73,4397983.421,,
0,0,61.33333333,32.23333333,61.33333333,1.96,1.37,3.33,good,-11774969.08,4398360.914,,
0,0,9.33333333,27.15384615,9.33333333,-1.07,0.73,-0.34,present,-11790414.67,4397979.071,,
0,0,18,22.0952381,18,-0.56,0.09,-0.47,present,-11776527.89,4413723.684,,
0,0,32,36.04545455,32,0.25,1.85,2.1,good,-11778944.3,4401252.386,,
0,0,74.66666667,37.93333333,74.66666667,2.74,2.09,4.83,good,-11779000.3,4397185.023,,
0,0,56,32.73333333,56,1.65,1.43,3.08,good,-11766992.04,4401910.06,,
0,0,38,21.26086957,38,0.6,-0.02,0.58,good,-11767097.9,4406766.008,,
0,0,5.33333333,30,5.33333333,-1.3,1.09,-0.21,present,-11774426.29,4407701.829,,
0,0,38,26.6,38,0.6,0.66,1.26,good,-11770519.42,4411937.681,,
0,0,38.66666667,29.46428571,38.66666667,0.64,1.02,1.66,good,-11793315.76,4401212.801,,
0,0,69.33333333,32.25,69.33333333,2.43,1.37,3.8,good,-11767265.33,4399113.114,,
0,0,25.33333333,28.75862069,25.33333333,-0.14,0.93,0.79,good,-11771326.71,4397257.359,,
0,0,5.33333333,11.66666667,5.33333333,-1.3,-1.23,-2.53,poor,-11767902.74,4403894.713,,
0,0,6.66666667,26,6.66666667,-1.23,0.58,-0.65,present,-11796522.99,4428210.358,,
0,0,14.66666667,21.53333333,14.66666667,-0.76,0.02,-0.74,present,-11791631.5,4397373.29,,
0,0,42,13.37931034,42,0.84,-1.01,-0.17,present,-11795133.28,4400832.385,,
0,0,23.33333333,24.45,23.33333333,-0.25,0.39,0.14,present,-11780753.24,4400250.746,,
0,0,19.33333333,16.20833333,19.33333333,-0.49,-0.65,-1.14,poor,-11792237.97,4430005.226,,
0,0,18,21,18,-0.56,-0.05,-0.61,present,-11784394.4,4434873.884,,
0,0,50.66666667,22.16666667,50.66666667,1.34,0.1,1.44,good,-11788510.66,4421062.306,,
0,0,43.33333333,18.8,43.33333333,0.91,-0.33,0.58,good,-11788745.21,4413540.828,,
0,0,21.33333333,10.85714286,21.33333333,-0.37,-1.33,-1.7,poor,-11777809.4,4423731.267,,
0,0,34,45.08333333,34,0.37,2.99,3.36,good,-11793038.47,4402164.665,,
,,,,,-1.62,-2.7,-4.32,poor,-11802434.84,4413938.801,,
0,0,6.66666667,21.7,6.66666667,-1.23,0.04,-1.19,poor,-11795562.53,4426391.709,,
0,0,30,19.86956522,30,0.14,-0.19,-0.05,present,-11767390.56,4405846.665,,
0,0,84.66666667,40.34482759,84.66666667,3.33,2.39,5.72,good,-11772123.31,4398140.139,,
0,0,7.33333333,23.5,7.33333333,-1.19,0.27,-0.92,poor,-11768354.82,4405111.362,,
0,0,58,26,58,1.77,0.58,2.35,good,-11772387.93,4409780.557,,
0,0,39.33333333,29.21428571,39.33333333,0.68,0.99,1.67,good,-11790683.07,4424608.59,,
0,0,34,21.64285714,34,0.37,0.03,0.4,good,-11772324.81,4411171.928,,
0,0,18,20.25,18,-0.56,-0.14,-0.7,present,-11777156.08,4412218.946,,
0,0,18,13.77272727,18,-0.56,-0.96,-1.52,poor,-11788070.29,4417564.922,,
0,0,21.33333333,9.65217391,21.33333333,-0.37,-1.48,-1.85,poor,-11788043.12,4418205.518,,
0,0,25.33333333,14.54545455,25.33333333,-0.14,-0.86,-1,poor,-11782282.34,4411618.473,,
0,0,30,21.20689655,30,0.14,-0.02,0.12,present,-11784590.1,4402995.069,,
0,0,12.66666667,13.58823529,12.66666667,-0.88,-0.98,-1.86,poor,-11774874.81,4434716.163,,
0,0,42.66666667,16.78571429,42.66666667,0.87,-0.58,0.29,present,-11773996.27,4427058.876,,
0,0,47.33333333,27.19230769,47.33333333,1.15,0.73,1.88,good,-11790232.89,4420777.332,,
0,0,10,30.33333333,10,-1.03,1.13,0.1,present,-11797568.96,4418366.613,,
0,0,42.66666667,23.37931034,42.66666667,0.87,0.25,1.12,good,-11802128.83,4415187.89,,
0,0,40.66666667,19.36666667,40.66666667,0.76,-0.25,0.51,good,-11789378.39,4431136.697,,
0,0,17.33333333,15.13043478,17.33333333,-0.6,-0.79,-1.39,poor,-11798763.08,4430252.011,,
0,0,7.33333333,13,7.33333333,-1.19,-1.06,-2.25,poor,-11774331.78,4434667.677,,
0,0,42,36.44,42,0.84,1.9,2.74,good,-11792057.52,4402509.291,,
0,0,57.33333333,19.03571429,57.33333333,1.73,-0.3,1.43,good,-11795014.61,4400014.654,,
0,0,36.66666667,15.64,36.66666667,0.52,-0.73,-0.21,present,-11781203.64,4415316.81,,
0,0,54.66666667,17.96666667,54.66666667,1.58,-0.43,1.15,good,-11796629.41,4417426.371,,
0,0,10.66666667,20.2,10.66666667,-0.99,-0.15,-1.14,poor,-11792368.43,4401485.865,,
0,0,6.66666667,14.13333333,6.66666667,-1.23,-0.92,-2.15,poor,-11790956.01,4397523.795,,
0,0,34.66666667,20.21428571,34.66666667,0.41,-0.15,0.26,present,-11766704.39,4408127.799,,
0,0,34,16.03571429,34,0.37,-0.68,-0.31,present,-11781521.79,4400631.558,,
0,0,20,19.11764706,20,-0.45,-0.29,-0.74,present,-11782015.94,4409606.662,,
0,0,24.66666667,18.76190476,24.66666667,-0.18,-0.33,-0.51,present,-11781229.58,4400734.888,,
0,0,12.66666667,17.15,12.66666667,-0.88,-0.53,-1.41,poor,-11773082.11,4397229.73,,
0,0,56,26.9,56,1.65,0.7,2.35,good,-11778384.14,4398635.849,,
0,0,53.33333333,27.7,53.33333333,1.5,0.8,2.3,good,-11779007.98,4397784.963,,
0,0,50.66666667,19.65517241,50.66666667,1.34,-0.22,1.12,good,-11773597.85,4398116.95,,
0,0,34,11.40740741,34,0.37,-1.26,-0.89,poor,-11767594.72,4406516.432,,
0,0,30,17.85714286,30,0.14,-0.45,-0.31,present,-11779461.49,4399369.32,,
0,0,30.66666667,15.96551724,30.66666667,0.17,-0.68,-0.51,present,-11771108.63,4401743.242,,
0,0,43.33333333,20.89655172,43.33333333,0.91,-0.06,0.85,good,-11783604.36,4398347.722,,
0,0,26,20.52631579,26,-0.1,-0.11,-0.21,present,-11775973.63,4399243.924,,
0,0,40.66666667,17.5862069,40.66666667,0.76,-0.48,0.28,present,-11782017.5,4402270.094,,
0,0,8,12.75,8,-1.15,-1.09,-2.24,poor,-11771131.34,4402843.371,,
0,0,32.66666667,18.72,32.66666667,0.29,-0.34,-0.05,present,-11773405.16,4410205.216,,
0,0,34.66666667,14.66666667,34.66666667,0.41,-0.85,-0.44,present,-11798509.38,4411540.335,,
0,0,32,20.79310345,32,0.25,-0.07,0.18,present,-11769825.79,4409829.9,,
0,0,36.66666667,20.85714286,36.66666667,0.52,-0.07,0.45,good,-11771165.18,4409767.627,,
0,0,21.33333333,15.78947368,21.33333333,-0.37,-0.71,-1.08,poor,-11766405.83,4409513.255,,
0,0,28.66666667,22.28,28.66666667,0.06,0.11,0.17,present,-11772159.6,4408630.923,,
0,0,42,14.46428571,42,0.84,-0.87,-0.03,present,-11787169.37,4414512.568,,
0,0,27.33333333,29.92857143,27.33333333,-0.02,1.08,1.06,good,-11776376.16,4404570.887,,
0,0,8,21.18181818,8,-1.15,-0.03,-1.18,poor,-11774148.55,4402684.179,,
0,0,40,16.51851852,40,0.72,-0.61,0.11,present,-11786730.02,4431241.67,,
0,0,3.33333333,8.1,3.33333333,-1.42,-1.68,-3.1,poor,-11777839.39,4420702.283,,
0,0,27.33333333,17.27586207,27.33333333,-0.02,-0.52,-0.54,present,-11775606.74,4397196.349,,
0,0,12.66666667,18.33333333,12.66666667,-0.88,-0.39,-1.27,poor,-11778301.76,4398982.396,,
0,0,47.33333333,24.375,47.33333333,1.15,0.38,1.53,good,-11802974.39,4426081.575,,
0,0,30.66666667,20.15384615,30.66666667,0.17,-0.16,0.01,present,-11801994.95,4414771.779,,
0,0,33.33333333,27.60869565,33.33333333,0.33,0.79,1.12,good,-11789749.11,4416135.874,,
0,0,7.38255034,12.54545455,7.38255034,-1.18,-1.12,-2.3,poor,-11769688.41,4404556.491,,
0,0,15.33333333,22.58823529,15.33333333,-0.72,0.15,-0.57,present,-11777421.53,4399293.117,,
0,0,0,15,0,-1.62,-0.81,-2.43,poor,-11779762.54,4407356.59,,
0,0,21.33333333,15.73684211,21.33333333,-0.37,-0.71,-1.08,poor,-11777751.2,4412188.762,,
0,0,14.66666667,18,14.66666667,-0.76,-0.43,-1.19,poor,-11782035.35,4416941.587,,
0,4.66666667,47.33333333,45.3,42.6666666,1.15,3.02,4.17,good,-11774068.96,4397142.761,,
0,0,11.33333333,13.17647059,11.33333333,-0.95,-1.04,-1.99,poor,-11767581.47,4402509.299,,
0,0,29.33333333,11.55555556,29.33333333,0.1,-1.24,-1.14,poor,-11766116.16,4414595.08,,
0,0,9.33333333,14.14285714,9.33333333,-1.07,-0.91,-1.98,poor,-11791365.58,4405323.9,,
0,0,30,20.53846154,30,0.14,-0.11,0.03,present,-11770521.56,4426888.893,,
0,26.66666667,52.66666667,44.26666667,26,1.46,2.89,4.35,good,-11798267.99,4420896.772,,
0,0.66666667,49.33333333,44.64,48.66666666,1.26,2.94,4.2,good,-11799008.46,4422633.227,,
0,0,12.66666667,19.07692308,12.66666667,-0.88,-0.29,-1.17,poor,-11794188.25,4429604.466,,
0,0,37.33333333,23.95238095,37.33333333,0.56,0.32,0.88,good,-11780849.9,4400730.458,,
0,0,10.66666667,25.4,10.66666667,-0.99,0.51,-0.48,present,-11792746.95,4401867.187,,
0,0,14.66666667,29.66666667,14.66666667,-0.76,1.05,0.29,present,-11775110.24,4407223.163,,
0,0,18,18.59090909,18,-0.56,-0.35,-0.91,poor,-11767316.71,4426948.006,,
0,0,20,25.92592593,20,-0.45,0.57,0.12,present,-11769643.53,4402694.479,,
0,0,30.66666667,26.59259259,30.66666667,0.17,0.66,0.83,good,-11788850.39,4407904.697,,
0,0,24.66666667,18.52631579,24.66666667,-0.18,-0.36,-0.54,present,-11788066.26,4429916.436,,
0,0,14,13.83333333,14,-0.8,-0.95,-1.75,poor,-11803197.16,4429807.95,,
0,0,26.66666667,27.96428571,26.66666667,-0.06,0.83,0.77,good,-11784648.67,4398862.584,,
0,0,32,22.6,32,0.25,0.15,0.4,good,-11784786.19,4399045.605,,
0,0,5.33333333,11.77777778,5.33333333,-1.3,-1.21,-2.51,poor,-11773723.22,4410694.972,,
0,0,27.33333333,19.73913043,27.33333333,-0.02,-0.21,-0.23,present,-11795744.43,4413455.008,,
0,0,47.33333333,33.16666667,47.33333333,1.15,1.49,2.64,good,-11770795.66,4397658.182,,
0,0,6.66666667,8,6.66666667,-1.23,-1.69,-2.92,poor,-11767793.38,4422907.008,,
0,0,4.66666667,5.9,4.66666667,-1.34,-1.96,-3.3,poor,-11767766.51,4413356.006,,
0,0,5.33333333,26.15384615,5.33333333,-1.3,0.6,-0.7,present,-11767260.99,4410555.234,,
0,0,18.66666667,14.36842105,18.66666667,-0.53,-0.89,-1.42,poor,-11785570.1,4409796.819,,
0,0,46.66666667,23.2,46.66666667,1.11,0.23,1.34,good,-11799685.84,4426254.336,,
0,0,37.33333333,18.48275862,37.33333333,0.56,-0.37,0.19,present,-11794844.38,4401139.851,,
0,0,18.66666667,18.95454545,18.66666667,-0.53,-0.31,-0.84,poor,-11804014.18,4428263.451,,
0,0.66666667,40,38.42307692,39.33333333,0.72,2.15,2.87,good,-11773549.03,4407246.208,,
0,0,11.33333333,23.16666667,11.33333333,-0.95,0.23,-0.72,present,-11776791.19,4402568.411,,
0,0,8.66666667,8.46153846,8.66666667,-1.11,-1.63,-2.74,poor,-11771729.56,4409326.975,,
0,0,2,7.9,2,-1.5,-1.7,-3.2,poor,-11766007.9,4424778.887,,
