Township,Segment_id,Sage,Year,Freq
T29R11,29-11-01-S,present,1881,1
T29R11,29-11-01-S,absent,2019,1
T29R09,29-11-01-S,present,1881,1
T29R09,29-11-01-S,present,2019,1
T29R11,29-11-01-W,present,1881,1
T29R11,29-11-01-W,present,2019,1
T29R09,29-11-01-W,present,1881,1
T29R09,29-11-01-W,present,2019,1
T29R11,29-11-02-S,present,1881,1
T29R11,29-11-02-S,present,2019,1
T29R09,29-11-02-S,present,1881,1
T29R09,29-11-02-S,present,2019,1
T29R11,29-11-02-W,absent,1881,1
T29R11,29-11-02-W,present,2019,1
T29R09,29-11-02-W,absent,1881,1
T29R09,29-11-02-W,present,2019,1
T29R11,29-11-03-S,absent,1881,1
T29R11,29-11-03-S,present,2019,1
T29R09,29-11-03-S,absent,1881,1
T29R09,29-11-03-S,present,2019,1
T29R11,29-11-03-W,absent,1881,1
T29R11,29-11-03-W,present,2019,1
T29R09,29-11-03-W,absent,1881,1
T29R09,29-11-03-W,present,2019,1
T29R11,29-11-04-S,absent,1881,1
T29R11,29-11-04-S,present,2019,1
T29R09,29-11-04-S,absent,1881,1
T29R09,29-11-04-S,present,2019,1
T29R11,29-11-04-W,absent,1881,1
T29R11,29-11-04-W,absent,2019,1
T29R09,29-11-04-W,absent,1881,1
T29R09,29-11-04-W,absent,2019,1
T29R11,29-11-05-S,absent,1881,1
T29R11,29-11-05-S,absent,2019,1
T29R09,29-11-05-S,absent,1881,1
T29R09,29-11-05-S,absent,2019,1
T29R11,29-11-05-W,absent,1881,1
T29R11,29-11-05-W,absent,2019,1
T29R09,29-11-05-W,absent,1881,1
T29R09,29-11-05-W,absent,2019,1
T29R11,29-11-06-S,absent,1881,1
T29R11,29-11-06-S,absent,2019,1
T29R09,29-11-06-S,absent,1881,1
T29R09,29-11-06-S,absent,2019,1
T29R11,29-11-06-W,absent,1881,1
T29R11,29-11-06-W,present,2019,1
T29R09,29-11-06-W,absent,1881,1
T29R09,29-11-06-W,present,2019,1
T29R11,29-11-07-S,absent,1881,1
T29R11,29-11-07-S,absent,2019,1
T29R09,29-11-07-S,absent,1881,1
T29R09,29-11-07-S,absent,2019,1
T29R11,29-11-07-W,absent,1881,1
T29R11,29-11-07-W,absent,2019,1
T29R09,29-11-07-W,absent,1881,1
T29R09,29-11-07-W,absent,2019,1
T29R11,29-11-08-S,absent,1881,1
T29R11,29-11-08-S,present,2019,1
T29R09,29-11-08-S,absent,1881,1
T29R09,29-11-08-S,present,2019,1
T29R11,29-11-08-W,absent,1881,1
T29R11,29-11-08-W,absent,2019,1
T29R09,29-11-08-W,absent,1881,1
T29R09,29-11-08-W,absent,2019,1
T29R11,29-11-09-S,absent,1881,1
T29R11,29-11-09-S,absent,2019,1
T29R09,29-11-09-S,absent,1881,1
T29R09,29-11-09-S,absent,2019,1
T29R11,29-11-09-W,absent,1881,1
T29R11,29-11-09-W,absent,2019,1
T29R09,29-11-09-W,absent,1881,1
T29R09,29-11-09-W,absent,2019,1
T29R11,29-11-10-S,absent,1881,1
T29R11,29-11-10-S,absent,2019,1
T29R09,29-11-10-S,absent,1881,1
T29R09,29-11-10-S,absent,2019,1
T29R11,29-11-10-W,absent,1881,1
T29R11,29-11-10-W,present,2019,1
T29R09,29-11-10-W,absent,1881,1
T29R09,29-11-10-W,present,2019,1
T29R11,29-11-11-S,present,1881,1
T29R11,29-11-11-S,present,2019,1
T29R09,29-11-11-S,present,1881,1
T29R09,29-11-11-S,present,2019,1
T29R11,29-11-11-W,present,1881,1
T29R11,29-11-11-W,present,2019,1
T29R09,29-11-11-W,present,1881,1
T29R09,29-11-11-W,present,2019,1
T29R11,29-11-12-S,absent,1881,1
T29R11,29-11-12-S,present,2019,1
T29R09,29-11-12-S,absent,1881,1
T29R09,29-11-12-S,present,2019,1
T29R11,29-11-12-W,present,1881,1
T29R11,29-11-12-W,present,2019,1
T29R09,29-11-12-W,present,1881,1
T29R09,29-11-12-W,present,2019,1
T29R11,29-11-13-S,absent,1881,1
T29R11,29-11-13-S,absent,2019,1
T29R09,29-11-13-S,absent,1881,1
T29R09,29-11-13-S,absent,2019,1
T29R11,29-11-13-W,absent,1881,1
T29R11,29-11-13-W,present,2019,1
T29R09,29-11-13-W,absent,1881,1
T29R09,29-11-13-W,present,2019,1
T29R11,29-11-14-S,present,1881,1
T29R11,29-11-14-S,present,2019,1
T29R09,29-11-14-S,present,1881,1
T29R09,29-11-14-S,present,2019,1
T29R11,29-11-14-W,absent,1881,1
T29R11,29-11-14-W,absent,2019,1
T29R09,29-11-14-W,absent,1881,1
T29R09,29-11-14-W,absent,2019,1
T29R11,29-11-15-S,absent,1881,1
T29R11,29-11-15-S,absent,2019,1
T29R09,29-11-15-S,absent,1881,1
T29R09,29-11-15-S,absent,2019,1
T29R11,29-11-15-W,absent,1881,1
T29R11,29-11-15-W,absent,2019,1
T29R09,29-11-15-W,absent,1881,1
T29R09,29-11-15-W,absent,2019,1
T29R11,29-11-16-S,absent,1881,1
T29R11,29-11-16-S,absent,2019,1
T29R09,29-11-16-S,absent,1881,1
T29R09,29-11-16-S,absent,2019,1
T29R11,29-11-16-W,absent,1881,1
T29R11,29-11-16-W,present,2019,1
T29R09,29-11-16-W,absent,1881,1
T29R09,29-11-16-W,present,2019,1
T29R11,29-11-17-S,absent,1881,1
T29R11,29-11-17-S,absent,2019,1
T29R09,29-11-17-S,absent,1881,1
T29R09,29-11-17-S,absent,2019,1
T29R11,29-11-17-W,absent,1881,1
T29R11,29-11-17-W,absent,2019,1
T29R09,29-11-17-W,absent,1881,1
T29R09,29-11-17-W,absent,2019,1
T29R11,29-11-18-S,absent,1881,1
T29R11,29-11-18-S,absent,2019,1
T29R09,29-11-18-S,absent,1881,1
T29R09,29-11-18-S,absent,2019,1
T29R11,29-11-18-W,absent,1881,1
T29R11,29-11-18-W,present,2019,1
T29R09,29-11-18-W,absent,1881,1
T29R09,29-11-18-W,present,2019,1
T29R11,29-11-19-S,absent,1881,1
T29R11,29-11-19-S,present,2019,1
T29R09,29-11-19-S,absent,1881,1
T29R09,29-11-19-S,present,2019,1
T29R11,29-11-19-W,absent,1881,1
T29R11,29-11-19-W,present,2019,1
T29R09,29-11-19-W,absent,1881,1
T29R09,29-11-19-W,present,2019,1
T29R11,29-11-20-S,absent,1881,1
T29R11,29-11-20-S,present,2019,1
T29R09,29-11-20-S,absent,1881,1
T29R09,29-11-20-S,present,2019,1
T29R11,29-11-20-W,absent,1881,1
T29R11,29-11-20-W,absent,2019,1
T29R09,29-11-20-W,absent,1881,1
T29R09,29-11-20-W,absent,2019,1
T29R11,29-11-21-S,absent,1881,1
T29R11,29-11-21-S,present,2019,1
T29R09,29-11-21-S,absent,1881,1
T29R09,29-11-21-S,present,2019,1
T29R11,29-11-21-W,absent,1881,1
T29R11,29-11-21-W,absent,2019,1
T29R09,29-11-21-W,absent,1881,1
T29R09,29-11-21-W,absent,2019,1
T29R11,29-11-22-S,absent,1881,1
T29R11,29-11-22-S,present,2019,1
T29R09,29-11-22-S,absent,1881,1
T29R09,29-11-22-S,present,2019,1
T29R11,29-11-22-W,absent,1881,1
T29R11,29-11-22-W,present,2019,1
T29R09,29-11-22-W,absent,1881,1
T29R09,29-11-22-W,present,2019,1
T29R11,29-11-23-S,absent,1881,1
T29R11,29-11-23-S,present,2019,1
T29R09,29-11-23-S,absent,1881,1
T29R09,29-11-23-S,present,2019,1
T29R11,29-11-23-W,absent,1881,1
T29R11,29-11-23-W,present,2019,1
T29R09,29-11-23-W,absent,1881,1
T29R09,29-11-23-W,present,2019,1
T29R11,29-11-24-S,present,1881,1
T29R11,29-11-24-S,present,2019,1
T29R09,29-11-24-S,present,1881,1
T29R09,29-11-24-S,present,2019,1
T29R11,29-11-24-W,present,1881,1
T29R11,29-11-24-W,present,2019,1
T29R09,29-11-24-W,present,1881,1
T29R09,29-11-24-W,present,2019,1
T29R11,29-11-25-S,present,1881,1
T29R11,29-11-25-S,present,2019,1
T29R09,29-11-25-S,present,1881,1
T29R09,29-11-25-S,present,2019,1
T29R11,29-11-25-W,present,1881,1
T29R11,29-11-25-W,present,2019,1
T29R09,29-11-25-W,present,1881,1
T29R09,29-11-25-W,present,2019,1
T29R11,29-11-26-S,absent,1881,1
T29R11,29-11-26-S,present,2019,1
T29R09,29-11-26-S,absent,1881,1
T29R09,29-11-26-S,present,2019,1
T29R11,29-11-26-W,absent,1881,1
T29R11,29-11-26-W,present,2019,1
T29R09,29-11-26-W,absent,1881,1
T29R09,29-11-26-W,present,2019,1
T29R11,29-11-27-S,absent,1881,1
T29R11,29-11-27-S,present,2019,1
T29R09,29-11-27-S,absent,1881,1
T29R09,29-11-27-S,present,2019,1
T29R11,29-11-27-W,absent,1881,1
T29R11,29-11-27-W,present,2019,1
T29R09,29-11-27-W,absent,1881,1
T29R09,29-11-27-W,present,2019,1
T29R11,29-11-28-S,absent,1881,1
T29R11,29-11-28-S,present,2019,1
T29R09,29-11-28-S,absent,1881,1
T29R09,29-11-28-S,present,2019,1
T29R11,29-11-28-W,present,1881,1
T29R11,29-11-28-W,present,2019,1
T29R09,29-11-28-W,present,1881,1
T29R09,29-11-28-W,present,2019,1
T29R11,29-11-29-S,present,1881,1
T29R11,29-11-29-S,present,2019,1
T29R09,29-11-29-S,present,1881,1
T29R09,29-11-29-S,present,2019,1
T29R11,29-11-29-W,present,1881,1
T29R11,29-11-29-W,present,2019,1
T29R09,29-11-29-W,present,1881,1
T29R09,29-11-29-W,present,2019,1
T29R11,29-11-30-S,present,1881,1
T29R11,29-11-30-S,present,2019,1
T29R09,29-11-30-S,present,1881,1
T29R09,29-11-30-S,present,2019,1
T29R11,29-11-30-W,absent,1881,1
T29R11,29-11-30-W,present,2019,1
T29R09,29-11-30-W,absent,1881,1
T29R09,29-11-30-W,present,2019,1
T29R11,29-11-31-S,present,1881,1
T29R11,29-11-31-S,present,2019,1
T29R09,29-11-31-S,present,1881,1
T29R09,29-11-31-S,present,2019,1
T29R11,29-11-31-W,absent,1881,1
T29R11,29-11-31-W,present,2019,1
T29R09,29-11-31-W,absent,1881,1
T29R09,29-11-31-W,present,2019,1
T29R11,29-11-32-S,present,1881,1
T29R11,29-11-32-S,present,2019,1
T29R09,29-11-32-S,present,1881,1
T29R09,29-11-32-S,present,2019,1
T29R11,29-11-32-W,present,1881,1
T29R11,29-11-32-W,present,2019,1
T29R09,29-11-32-W,present,1881,1
T29R09,29-11-32-W,present,2019,1
T29R11,29-11-33-S,present,1881,1
T29R11,29-11-33-S,present,2019,1
T29R09,29-11-33-S,present,1881,1
T29R09,29-11-33-S,present,2019,1
T29R11,29-11-33-W,present,1881,1
T29R11,29-11-33-W,present,2019,1
T29R09,29-11-33-W,present,1881,1
T29R09,29-11-33-W,present,2019,1
T29R11,29-11-34-S,absent,1881,1
T29R11,29-11-34-S,present,2019,1
T29R09,29-11-34-S,absent,1881,1
T29R09,29-11-34-S,present,2019,1
T29R11,29-11-34-W,present,1881,1
T29R11,29-11-34-W,present,2019,1
T29R09,29-11-34-W,present,1881,1
T29R09,29-11-34-W,present,2019,1
T29R11,29-11-35-S,present,1881,1
T29R11,29-11-35-S,present,2019,1
T29R09,29-11-35-S,present,1881,1
T29R09,29-11-35-S,present,2019,1
T29R11,29-11-35-W,absent,1881,1
T29R11,29-11-35-W,present,2019,1
T29R09,29-11-35-W,absent,1881,1
T29R09,29-11-35-W,present,2019,1
T29R11,29-11-36-S,absent,1881,1
T29R11,29-11-36-S,present,2019,1
T29R09,29-11-36-S,absent,1881,1
T29R09,29-11-36-S,present,2019,1
T29R11,29-11-36-W,present,1881,1
T29R11,29-11-36-W,present,2019,1
T29R09,29-11-36-W,present,1881,1
T29R09,29-11-36-W,present,2019,1
