Township,Segment,Sage,Year,Freq
T29R09,29-09-01-S,absent,1881,
T29R09,29-09-01-S,absent,2019,
T29R09,29-09-01-W,present,2019,
T29R09,29-09-01-W,absent,1881,
T29R09,29-09-02-S,absent,1881,
T29R09,29-09-02-S,absent,2019,
T29R09,29-09-02-W,present,2019,
T29R09,29-09-02-W,absent,1881,
T29R09,29-09-03-S,present,2019,
T29R09,29-09-03-S,absent,1881,
T29R09,29-09-03-W,present,2019,
T29R09,29-09-03-W,absent,1881,
T29R09,29-09-04-W,present,2019,
T29R09,29-09-04-W,absent,1881,
T29R09,29-09-10-S,present,2019,
T29R09,29-09-10-S,absent,1881,
T29R09,29-09-10-W,present,2019,
T29R09,29-09-10-W,absent,1881,
T29R09,29-09-11-S,present,2019,
T29R09,29-09-11-S,absent,1881,
T29R09,29-09-11-W,present,2019,
T29R09,29-09-11-W,absent,1881,
T29R09,29-09-12-S,present,2019,
T29R09,29-09-12-S,absent,1881,
T29R09,29-09-12-W,present,2019,
T29R09,29-09-12-W,absent,1881,
T29R09,29-09-13-S,present,2019,
T29R09,29-09-13-S,absent,1881,
T29R09,29-09-13-W,present,2019,
T29R09,29-09-13-W,absent,1881,
T29R09,29-09-14-S,present,2019,
T29R09,29-09-14-S,absent,1881,
T29R09,29-09-14-W,present,2019,
T29R09,29-09-14-W,absent,1881,
T29R09,29-09-15-S,present,2019,
T29R09,29-09-15-S,absent,1881,
T29R09,29-09-22-S,present,2019,
T29R09,29-09-22-S,absent,1881,
T29R09,29-09-23-S,present,1881,
T29R09,29-09-23-S,present,2019,
T29R09,29-09-23-W,present,2019,
T29R09,29-09-23-W,absent,1881,
T29R09,29-09-24-S,present,2019,
T29R09,29-09-24-S,absent,1881,
T29R09,29-09-24-W,present,2019,
T29R09,29-09-24-W,absent,1881,
T29R09,29-09-25-S,present,2019,
T29R09,29-09-25-S,absent,1881,
T29R09,29-09-25-W,present,2019,
T29R09,29-09-25-W,absent,1881,
T29R09,29-09-26-S,present,2019,
T29R09,29-09-26-S,absent,1881,
T29R09,29-09-26-W,present,2019,
T29R09,29-09-26-W,absent,1881,
T29R09,29-09-27-S,present,2019,
T29R09,29-09-27-S,absent,1881,
T29R09,29-09-34-S,present,2019,
T29R09,29-09-34-S,absent,1881,
T29R09,29-09-35-S,present,2019,
T29R09,29-09-35-S,absent,1881,
T29R09,29-09-35-W,present,2019,
T29R09,29-09-35-W,absent,1881,
T29R09,29-09-36-S,present,2019,
T29R09,29-09-36-S,absent,1881,
T29R09,29-09-36-W,present,2019,
T29R09,29-09-36-W,absent,1881,
T29R10,29-10-01-S,present,2019,
T29R10,29-10-01-S,absent,1881,
T29R10,29-10-01-W,present,2019,
T29R10,29-10-01-W,absent,1881,
T29R10,29-10-02-S,present,1881,
T29R10,29-10-02-S,present,2019,
T29R10,29-10-02-W,present,1881,
T29R10,29-10-02-W,present,2019,
T29R10,29-10-03-S,present,1881,
T29R10,29-10-03-S,present,2019,
T29R10,29-10-03-W,present,1881,
T29R10,29-10-03-W,present,2019,
T29R10,29-10-04-S,present,1881,
T29R10,29-10-04-S,present,2019,
T29R10,29-10-04-W,present,1881,
T29R10,29-10-04-W,present,2019,
T29R10,29-10-05-S,present,2019,
T29R10,29-10-05-S,absent,1881,
T29R10,29-10-05-W,present,2019,
T29R10,29-10-05-W,absent,1881,
T29R10,29-10-06-S,present,2019,
T29R10,29-10-06-S,absent,1881,
T29R10,29-10-07-S,present,2019,
T29R10,29-10-07-S,absent,1881,
T29R10,29-10-07-W,absent,1881,
T29R10,29-10-07-W,absent,2019,
T29R10,29-10-08-S,present,2019,
T29R10,29-10-08-S,absent,1881,
T29R10,29-10-09-S,present,1881,
T29R10,29-10-09-S,present,2019,
T29R10,29-10-09-W,present,1881,
T29R10,29-10-09-W,present,2019,
T29R10,29-10-10-S,present,1881,
T29R10,29-10-10-S,present,2019,
T29R10,29-10-10-W,present,1881,
T29R10,29-10-10-W,present,2019,
T29R10,29-10-11-S,present,2019,
T29R10,29-10-11-S,absent,1881,
T29R10,29-10-11-W,present,1881,
T29R10,29-10-11-W,present,2019,
T29R10,29-10-12-S,present,2019,
T29R10,29-10-12-S,absent,1881,
T29R10,29-10-12-W,present,2019,
T29R10,29-10-12-W,absent,1881,
T29R10,29-10-13-S,present,2019,
T29R10,29-10-13-S,absent,1881,
T29R10,29-10-13-W,present,2019,
T29R10,29-10-13-W,absent,1881,
T29R10,29-10-14-S,present,2019,
T29R10,29-10-14-S,absent,1881,
T29R10,29-10-14-W,present,2019,
T29R10,29-10-14-W,absent,1881,
T29R10,29-10-15-S,present,2019,
T29R10,29-10-15-S,absent,1881,
T29R10,29-10-15-W,present,2019,
T29R10,29-10-15-W,absent,1881,
T29R10,29-10-16-S,present,2019,
T29R10,29-10-16-S,absent,1881,
T29R10,29-10-16-W,present,2019,
T29R10,29-10-16-W,absent,1881,
T29R10,29-10-17-S,absent,1881,
T29R10,29-10-17-S,absent,2019,
T29R10,29-10-17-W,present,2019,
T29R10,29-10-17-W,absent,1881,
T29R10,29-10-18-S,present,2019,
T29R10,29-10-18-S,absent,1881,
T29R10,29-10-18-W,present,2019,
T29R10,29-10-18-W,absent,1881,
T29R10,29-10-19-S,present,2019,
T29R10,29-10-19-S,absent,1881,
T29R10,29-10-19-W,present,2019,
T29R10,29-10-19-W,absent,1881,
T29R10,29-10-20-S,present,2019,
T29R10,29-10-20-S,absent,1881,
T29R10,29-10-20-W,present,2019,
T29R10,29-10-20-W,absent,1881,
T29R10,29-10-21-S,absent,1881,
T29R10,29-10-21-S,absent,2019,
T29R10,29-10-21-W,absent,1881,
T29R10,29-10-21-W,absent,2019,
T29R10,29-10-22-S,present,2019,
T29R10,29-10-22-S,absent,1881,
T29R10,29-10-22-W,present,2019,
T29R10,29-10-22-W,absent,1881,
T29R10,29-10-23-S,present,1881,
T29R10,29-10-23-S,present,2019,
T29R10,29-10-23-W,present,2019,
T29R10,29-10-23-W,absent,1881,
T29R10,29-10-24-S,present,2019,
T29R10,29-10-24-S,absent,1881,
T29R10,29-10-24-W,present,2019,
T29R10,29-10-24-W,absent,1881,
T29R10,29-10-25-S,present,2019,
T29R10,29-10-25-S,absent,1881,
T29R10,29-10-25-W,present,2019,
T29R10,29-10-25-W,absent,1881,
T29R10,29-10-26-S,present,1881,
T29R10,29-10-26-S,present,2019,
T29R10,29-10-26-W,present,1881,
T29R10,29-10-26-W,present,2019,
T29R10,29-10-27-S,present,2019,
T29R10,29-10-27-S,absent,1881,
T29R10,29-10-27-W,absent,1881,
T29R10,29-10-27-W,absent,2019,
T29R10,29-10-28-S,absent,1881,
T29R10,29-10-28-S,absent,2019,
T29R10,29-10-28-W,absent,1881,
T29R10,29-10-28-W,absent,2019,
T29R10,29-10-29-S,absent,1881,
T29R10,29-10-29-S,absent,2019,
T29R10,29-10-29-W,present,2019,
T29R10,29-10-29-W,absent,1881,
T29R10,29-10-30-S,absent,1881,
T29R10,29-10-30-S,absent,2019,
T29R10,29-10-30-W,absent,1881,
T29R10,29-10-30-W,absent,2019,
T29R10,29-10-31-S,present,2019,
T29R10,29-10-31-S,absent,1881,
T29R10,29-10-31-W,absent,1881,
T29R10,29-10-31-W,absent,2019,
T29R10,29-10-32-S,present,2019,
T29R10,29-10-32-S,absent,1881,
T29R10,29-10-32-W,absent,1881,
T29R10,29-10-32-W,absent,2019,
T29R10,29-10-33-S,present,2019,
T29R10,29-10-33-S,absent,1881,
T29R10,29-10-33-W,present,2019,
T29R10,29-10-33-W,absent,1881,
T29R10,29-10-34-S,present,2019,
T29R10,29-10-34-S,absent,1881,
T29R10,29-10-34-W,present,2019,
T29R10,29-10-34-W,absent,1881,
T29R10,29-10-35-S,present,2019,
T29R10,29-10-35-S,absent,1881,
T29R10,29-10-35-W,present,1881,
T29R10,29-10-35-W,present,2019,
T29R10,29-10-36-S,present,2019,
T29R10,29-10-36-S,absent,1881,
T29R10,29-10-36-W,present,2019,
T29R10,29-10-36-W,absent,1881,
T29R11,29-11-01-S,present,1881,
T29R11,29-11-01-S,present,2019,
T29R11,29-11-01-W,present,1881,
T29R11,29-11-01-W,present,2019,
T29R11,29-11-02-S,present,1881,
T29R11,29-11-02-S,present,2019,
T29R11,29-11-02-W,present,2019,
T29R11,29-11-02-W,absent,1881,
T29R11,29-11-03-S,present,2019,
T29R11,29-11-03-S,absent,1881,
T29R11,29-11-03-W,present,2019,
T29R11,29-11-03-W,absent,1881,
T29R11,29-11-04-S,present,2019,
T29R11,29-11-04-S,absent,1881,
T29R11,29-11-04-W,absent,1881,
T29R11,29-11-04-W,absent,2019,
T29R11,29-11-05-S,absent,1881,
T29R11,29-11-05-S,absent,2019,
T29R11,29-11-05-W,absent,1881,
T29R11,29-11-05-W,absent,2019,
T29R11,29-11-06-S,absent,1881,
T29R11,29-11-06-S,absent,2019,
T29R11,29-11-06-W,present,2019,
T29R11,29-11-06-W,absent,1881,
T29R11,29-11-07-S,absent,1881,
T29R11,29-11-07-S,absent,2019,
T29R11,29-11-07-W,absent,1881,
T29R11,29-11-07-W,absent,2019,
T29R11,29-11-08-S,present,2019,
T29R11,29-11-08-S,absent,1881,
T29R11,29-11-08-W,absent,1881,
T29R11,29-11-08-W,absent,2019,
T29R11,29-11-09-S,absent,1881,
T29R11,29-11-09-S,absent,2019,
T29R11,29-11-09-W,absent,1881,
T29R11,29-11-09-W,absent,2019,
T29R11,29-11-10-S,absent,1881,
T29R11,29-11-10-S,absent,2019,
T29R11,29-11-10-W,present,2019,
T29R11,29-11-10-W,absent,1881,
T29R11,29-11-11-S,present,1881,
T29R11,29-11-11-S,present,2019,
T29R11,29-11-11-W,present,1881,
T29R11,29-11-11-W,present,2019,
T29R11,29-11-12-S,present,2019,
T29R11,29-11-12-S,absent,1881,
T29R11,29-11-12-W,present,1881,
T29R11,29-11-12-W,present,2019,
T29R11,29-11-13-S,absent,1881,
T29R11,29-11-13-S,absent,2019,
T29R11,29-11-13-W,present,2019,
T29R11,29-11-13-W,absent,1881,
T29R11,29-11-14-S,present,1881,
T29R11,29-11-14-S,present,2019,
T29R11,29-11-14-W,absent,1881,
T29R11,29-11-14-W,absent,2019,
T29R11,29-11-15-S,absent,1881,
T29R11,29-11-15-S,absent,2019,
T29R11,29-11-15-W,absent,1881,
T29R11,29-11-15-W,absent,2019,
T29R11,29-11-16-S,absent,1881,
T29R11,29-11-16-S,absent,2019,
T29R11,29-11-16-W,present,2019,
T29R11,29-11-16-W,absent,1881,
T29R11,29-11-17-S,absent,1881,
T29R11,29-11-17-S,absent,2019,
T29R11,29-11-17-W,absent,1881,
T29R11,29-11-17-W,absent,2019,
T29R11,29-11-18-S,absent,1881,
T29R11,29-11-18-S,absent,2019,
T29R11,29-11-18-W,present,2019,
T29R11,29-11-18-W,absent,1881,
T29R11,29-11-19-S,present,2019,
T29R11,29-11-19-S,absent,1881,
T29R11,29-11-19-W,present,2019,
T29R11,29-11-19-W,absent,1881,
T29R11,29-11-20-S,present,2019,
T29R11,29-11-20-S,absent,1881,
T29R11,29-11-20-W,absent,1881,
T29R11,29-11-20-W,absent,2019,
T29R11,29-11-21-S,present,2019,
T29R11,29-11-21-S,absent,1881,
T29R11,29-11-21-W,absent,1881,
T29R11,29-11-21-W,absent,2019,
T29R11,29-11-22-S,present,2019,
T29R11,29-11-22-S,absent,1881,
T29R11,29-11-22-W,present,2019,
T29R11,29-11-22-W,absent,1881,
T29R11,29-11-23-S,present,2019,
T29R11,29-11-23-S,absent,1881,
T29R11,29-11-23-W,present,2019,
T29R11,29-11-23-W,absent,1881,
T29R11,29-11-24-S,present,1881,
T29R11,29-11-24-S,present,2019,
T29R11,29-11-24-W,present,1881,
T29R11,29-11-24-W,present,2019,
T29R11,29-11-25-S,present,1881,
T29R11,29-11-25-S,present,2019,
T29R11,29-11-25-W,present,1881,
T29R11,29-11-25-W,present,2019,
T29R11,29-11-26-S,present,2019,
T29R11,29-11-26-S,absent,1881,
T29R11,29-11-26-W,present,2019,
T29R11,29-11-26-W,absent,1881,
T29R11,29-11-27-S,present,2019,
T29R11,29-11-27-S,absent,1881,
T29R11,29-11-27-W,present,2019,
T29R11,29-11-27-W,absent,1881,
T29R11,29-11-28-S,present,2019,
T29R11,29-11-28-S,absent,1881,
T29R11,29-11-28-W,present,1881,
T29R11,29-11-28-W,present,2019,
T29R11,29-11-29-S,present,1881,
T29R11,29-11-29-S,present,2019,
T29R11,29-11-29-W,present,1881,
T29R11,29-11-29-W,present,2019,
T29R11,29-11-30-S,present,1881,
T29R11,29-11-30-S,present,2019,
T29R11,29-11-30-W,present,2019,
T29R11,29-11-30-W,absent,1881,
T29R11,29-11-31-S,present,1881,
T29R11,29-11-31-S,present,2019,
T29R11,29-11-31-W,present,2019,
T29R11,29-11-31-W,absent,1881,
T29R11,29-11-32-S,present,1881,
T29R11,29-11-32-S,present,2019,
T29R11,29-11-32-W,present,1881,
T29R11,29-11-32-W,present,2019,
T29R11,29-11-33-S,present,1881,
T29R11,29-11-33-S,present,2019,
T29R11,29-11-33-W,present,1881,
T29R11,29-11-33-W,present,2019,
T29R11,29-11-34-S,present,2019,
T29R11,29-11-34-S,absent,1881,
T29R11,29-11-34-W,present,1881,
T29R11,29-11-34-W,present,2019,
T29R11,29-11-35-S,present,1881,
T29R11,29-11-35-S,present,2019,
T29R11,29-11-35-W,present,2019,
T29R11,29-11-35-W,absent,1881,
T29R11,29-11-36-S,present,2019,
T29R11,29-11-36-S,absent,1881,
T29R11,29-11-36-W,present,1881,
T29R11,29-11-36-W,present,2019,
T30R09,30-09-01-S,present,2019,
T30R09,30-09-01-S,absent,1881,
T30R09,30-09-01-W,present,2019,
T30R09,30-09-01-W,absent,1881,
T30R09,30-09-02-S,present,2019,
T30R09,30-09-02-S,absent,1881,
T30R09,30-09-02-W,present,2019,
T30R09,30-09-02-W,absent,1881,
T30R09,30-09-03-S,present,2019,
T30R09,30-09-03-S,absent,1881,
T30R09,30-09-03-W,present,2019,
T30R09,30-09-03-W,absent,1881,
T30R09,30-09-04-S,present,2019,
T30R09,30-09-04-S,absent,1881,
T30R09,30-09-04-W,present,2019,
T30R09,30-09-04-W,absent,1881,
T30R09,30-09-05-S,present,2019,
T30R09,30-09-05-S,absent,1881,
T30R09,30-09-06-S,present,2019,
T30R09,30-09-06-S,absent,1881,
T30R09,30-09-06-W,absent,1881,
T30R09,30-09-06-W,absent,2019,
T30R09,30-09-07-S,present,2019,
T30R09,30-09-07-S,absent,1881,
T30R09,30-09-07-W,absent,1881,
T30R09,30-09-07-W,absent,2019,
T30R09,30-09-08-S,present,2019,
T30R09,30-09-08-S,absent,1881,
T30R09,30-09-08-W,present,2019,
T30R09,30-09-08-W,absent,1881,
T30R09,30-09-09-S,present,2019,
T30R09,30-09-09-S,absent,1881,
T30R09,30-09-09-W,present,2019,
T30R09,30-09-09-W,absent,1881,
T30R09,30-09-10-S,present,2019,
T30R09,30-09-10-S,absent,1881,
T30R09,30-09-10-W,present,2019,
T30R09,30-09-10-W,absent,1881,
T30R09,30-09-11-S,present,2019,
T30R09,30-09-11-S,absent,1881,
T30R09,30-09-11-W,present,2019,
T30R09,30-09-11-W,absent,1881,
T30R09,30-09-12-S,present,2019,
T30R09,30-09-12-S,absent,1881,
T30R09,30-09-12-W,present,2019,
T30R09,30-09-12-W,absent,1881,
T30R09,30-09-13-S,present,2019,
T30R09,30-09-13-S,absent,1881,
T30R09,30-09-13-W,present,2019,
T30R09,30-09-13-W,absent,1881,
T30R09,30-09-14-S,present,2019,
T30R09,30-09-14-S,absent,1881,
T30R09,30-09-14-W,present,2019,
T30R09,30-09-14-W,absent,1881,
T30R09,30-09-15-S,present,2019,
T30R09,30-09-15-S,absent,1881,
T30R09,30-09-15-W,present,2019,
T30R09,30-09-15-W,absent,1881,
T30R09,30-09-16-S,present,2019,
T30R09,30-09-16-S,absent,1881,
T30R09,30-09-16-W,present,2019,
T30R09,30-09-16-W,absent,1881,
T30R09,30-09-17-S,present,2019,
T30R09,30-09-17-S,absent,1881,
T30R09,30-09-17-W,present,2019,
T30R09,30-09-17-W,absent,1881,
T30R09,30-09-18-S,present,2019,
T30R09,30-09-18-S,absent,1881,
T30R09,30-09-18-W,present,2019,
T30R09,30-09-18-W,absent,1881,
T30R09,30-09-19-S,present,2019,
T30R09,30-09-19-S,absent,1881,
T30R09,30-09-19-W,present,2019,
T30R09,30-09-19-W,absent,1881,
T30R09,30-09-20-S,present,2019,
T30R09,30-09-20-S,absent,1881,
T30R09,30-09-20-W,present,2019,
T30R09,30-09-20-W,absent,1881,
T30R09,30-09-21-S,present,2019,
T30R09,30-09-21-S,absent,1881,
T30R09,30-09-21-W,present,2019,
T30R09,30-09-21-W,absent,1881,
T30R09,30-09-22-S,present,2019,
T30R09,30-09-22-S,absent,1881,
T30R09,30-09-22-W,present,2019,
T30R09,30-09-22-W,absent,1881,
T30R09,30-09-23-S,present,2019,
T30R09,30-09-23-S,absent,1881,
T30R09,30-09-23-W,present,2019,
T30R09,30-09-23-W,absent,1881,
T30R09,30-09-24-S,present,2019,
T30R09,30-09-24-S,absent,1881,
T30R09,30-09-24-W,present,2019,
T30R09,30-09-24-W,absent,1881,
T30R09,30-09-25-S,present,2019,
T30R09,30-09-25-S,absent,1881,
T30R09,30-09-25-W,absent,1881,
T30R09,30-09-25-W,absent,2019,
T30R09,30-09-26-S,present,2019,
T30R09,30-09-26-S,absent,1881,
T30R09,30-09-26-W,present,2019,
T30R09,30-09-26-W,absent,1881,
T30R09,30-09-27-S,present,2019,
T30R09,30-09-27-S,absent,1881,
T30R09,30-09-27-W,present,2019,
T30R09,30-09-27-W,absent,1881,
T30R09,30-09-28-S,present,2019,
T30R09,30-09-28-S,absent,1881,
T30R09,30-09-28-W,present,2019,
T30R09,30-09-28-W,absent,1881,
T30R09,30-09-29-S,present,2019,
T30R09,30-09-29-S,absent,1881,
T30R09,30-09-29-W,present,2019,
T30R09,30-09-29-W,absent,1881,
T30R09,30-09-30-S,present,2019,
T30R09,30-09-30-S,absent,1881,
T30R09,30-09-30-W,present,2019,
T30R09,30-09-30-W,absent,1881,
T30R09,30-09-31-W,present,2019,
T30R09,30-09-31-W,absent,1881,
T30R09,30-09-32-S,present,2019,
T30R09,30-09-32-S,absent,1881,
T30R09,30-09-32-W,present,2019,
T30R09,30-09-32-W,absent,1881,
T30R09,30-09-33-S,present,2019,
T30R09,30-09-33-S,absent,1881,
T30R09,30-09-33-W,present,2019,
T30R09,30-09-33-W,absent,1881,
T30R09,30-09-34-S,present,2019,
T30R09,30-09-34-S,absent,1881,
T30R09,30-09-34-W,present,2019,
T30R09,30-09-34-W,absent,1881,
T30R09,30-09-35-S,present,2019,
T30R09,30-09-35-S,absent,1881,
T30R09,30-09-35-W,present,2019,
T30R09,30-09-35-W,absent,1881,
T30R09,30-09-36-S,present,2019,
T30R09,30-09-36-S,absent,1881,
T30R09,30-09-36-W,present,2019,
T30R09,30-09-36-W,absent,1881,
T30R10,30-10-01-S,present,1881,
T30R10,30-10-01-S,present,2019,
T30R10,30-10-01-W,present,1881,
T30R10,30-10-01-W,present,2019,
T30R10,30-10-02-S,absent,1881,
T30R10,30-10-02-S,absent,2019,
T30R10,30-10-02-W,present,1881,
T30R10,30-10-02-W,absent,2019,
T30R10,30-10-03-S,present,2019,
T30R10,30-10-03-S,absent,1881,
T30R10,30-10-03-W,present,2019,
T30R10,30-10-03-W,absent,1881,
T30R10,30-10-04-S,present,2019,
T30R10,30-10-04-S,absent,1881,
T30R10,30-10-04-W,present,2019,
T30R10,30-10-04-W,absent,1881,
T30R10,30-10-05-S,absent,1881,
T30R10,30-10-05-S,absent,2019,
T30R10,30-10-05-W,absent,1881,
T30R10,30-10-05-W,absent,2019,
T30R10,30-10-06-S,absent,1881,
T30R10,30-10-06-S,absent,2019,
T30R10,30-10-06-W,absent,1881,
T30R10,30-10-06-W,absent,2019,
T30R10,30-10-07-S,present,2019,
T30R10,30-10-07-S,absent,1881,
T30R10,30-10-07-W,present,2019,
T30R10,30-10-07-W,absent,1881,
T30R10,30-10-08-S,absent,1881,
T30R10,30-10-08-S,absent,2019,
T30R10,30-10-08-W,present,2019,
T30R10,30-10-08-W,absent,1881,
T30R10,30-10-09-S,present,2019,
T30R10,30-10-09-S,absent,1881,
T30R10,30-10-09-W,present,2019,
T30R10,30-10-09-W,absent,1881,
T30R10,30-10-10-S,present,2019,
T30R10,30-10-10-S,absent,1881,
T30R10,30-10-10-W,present,2019,
T30R10,30-10-10-W,absent,1881,
T30R10,30-10-11-S,present,1881,
T30R10,30-10-11-S,present,2019,
T30R10,30-10-11-W,present,2019,
T30R10,30-10-11-W,absent,1881,
T30R10,30-10-12-S,present,2019,
T30R10,30-10-12-S,absent,1881,
T30R10,30-10-12-W,present,1881,
T30R10,30-10-12-W,present,2019,
T30R10,30-10-13-S,present,2019,
T30R10,30-10-13-S,absent,1881,
T30R10,30-10-13-W,absent,1881,
T30R10,30-10-13-W,absent,2019,
T30R10,30-10-14-S,present,2019,
T30R10,30-10-14-S,absent,1881,
T30R10,30-10-14-W,present,1881,
T30R10,30-10-14-W,present,2019,
T30R10,30-10-15-S,present,1881,
T30R10,30-10-15-S,present,2019,
T30R10,30-10-15-W,present,1881,
T30R10,30-10-15-W,present,2019,
T30R10,30-10-16-S,present,1881,
T30R10,30-10-16-S,absent,2019,
T30R10,30-10-16-W,present,2019,
T30R10,30-10-16-W,absent,1881,
T30R10,30-10-17-S,absent,1881,
T30R10,30-10-17-S,absent,2019,
T30R10,30-10-17-W,present,2019,
T30R10,30-10-17-W,absent,1881,
T30R10,30-10-18-S,present,1881,
T30R10,30-10-18-S,present,2019,
T30R10,30-10-18-W,present,2019,
T30R10,30-10-18-W,absent,1881,
T30R10,30-10-19-S,present,2019,
T30R10,30-10-19-S,absent,1881,
T30R10,30-10-19-W,absent,1881,
T30R10,30-10-19-W,absent,2019,
T30R10,30-10-20-S,present,2019,
T30R10,30-10-20-S,absent,1881,
T30R10,30-10-20-W,present,2019,
T30R10,30-10-20-W,absent,1881,
T30R10,30-10-21-S,present,2019,
T30R10,30-10-21-S,absent,1881,
T30R10,30-10-21-W,present,1881,
T30R10,30-10-21-W,present,2019,
T30R10,30-10-22-S,absent,1881,
T30R10,30-10-22-S,absent,2019,
T30R10,30-10-22-W,present,1881,
T30R10,30-10-22-W,present,2019,
T30R10,30-10-23-S,present,2019,
T30R10,30-10-23-S,absent,1881,
T30R10,30-10-23-W,present,2019,
T30R10,30-10-23-W,absent,1881,
T30R10,30-10-24-S,present,2019,
T30R10,30-10-24-S,absent,1881,
T30R10,30-10-24-W,present,2019,
T30R10,30-10-24-W,absent,1881,
T30R10,30-10-25-S,present,2019,
T30R10,30-10-25-S,absent,1881,
T30R10,30-10-25-W,present,2019,
T30R10,30-10-25-W,absent,1881,
T30R10,30-10-26-S,present,2019,
T30R10,30-10-26-S,absent,1881,
T30R10,30-10-26-W,present,2019,
T30R10,30-10-26-W,absent,1881,
T30R10,30-10-27-S,present,2019,
T30R10,30-10-27-S,absent,1881,
T30R10,30-10-27-W,absent,1881,
T30R10,30-10-27-W,absent,2019,
T30R10,30-10-28-S,absent,1881,
T30R10,30-10-28-S,absent,2019,
T30R10,30-10-28-W,absent,1881,
T30R10,30-10-28-W,absent,2019,
T30R10,30-10-29-S,present,2019,
T30R10,30-10-29-S,absent,1881,
T30R10,30-10-29-W,present,2019,
