"","POINT_X","POINT_Y","field_sage","landfire_sage"
"1",421959.9512,4069784.782,"present","present"
"2",421959.9512,4069784.782,"present","present"
"3",421909.9526,4069785.1502,"present","present"
"4",421859.9539,4069785.5185,"present","present"
"5",421809.9553,4069785.8867,"present","present"
"6",421759.9566,4069786.255,"present","present"
"7",421709.958,4069786.6232,"present","present"
"8",421659.9593,4069786.9915,"present","present"
"9",421609.9607,4069787.3597,"present","present"
"10",421559.962,4069787.7279,"present","present"
"11",421509.9634,4069788.0962,"present","present"
"12",421459.9648,4069788.4644,"present","present"
"13",421409.9661,4069788.8327,"present","present"
"14",421359.9675,4069789.2009,"present","present"
"15",421309.9688,4069789.5692,"present","present"
"16",421259.9702,4069789.9374,"present","present"
"17",421209.9715,4069790.3057,"present","present"
"18",421159.9729,4069790.6739,"present","present"
"19",421109.9743,4069791.0421,"present","present"
"20",421059.9756,4069791.4104,"present","present"
"21",421009.977,4069791.7786,"present","present"
"22",420959.9783,4069792.1469,"present","present"
"23",420909.9797,4069792.5151,"present","present"
"24",420859.981,4069792.8834,"present","present"
"25",420809.9824,4069793.2516,"present","present"
"26",420759.9837,4069793.6198,"present","present"
"27",420709.9851,4069793.9881,"present","present"
"28",420659.9865,4069794.3563,"present","present"
"29",420609.9878,4069794.7246,"present","present"
"30",420559.9892,4069795.0928,"present","present"
"31",420509.9905,4069795.4611,"present","present"
"32",420459.9919,4069795.8293,"present","present"
"33",420409.9932,4069796.1975,"present","present"
"34",420359.9946,4069796.5658,"present","present"
"35",420340.4551,4069796.7097,"present","present"
"36",434829.1757,4068080.6509,"present","present"
"37",434829.7158,4068130.648,"present","present"
"38",434830.2559,4068180.6451,"present","present"
"39",434830.796,4068230.6421,"present","present"
"40",434831.3362,4068280.6392,"present","present"
"41",434831.8763,4068330.6363,"present","present"
"42",434832.4164,4068380.6334,"present","absent"
"43",434832.9565,4068430.6305,"present","absent"
"44",434833.4966,4068480.6276,"present","present"
"45",434834.0367,4068530.6246,"present","present"
"46",434834.5769,4068580.6217,"present","present"
"47",434835.117,4068630.6188,"present","present"
"48",434835.6571,4068680.6159,"present","present"
"49",434836.1972,4068730.613,"present","present"
"50",434836.7373,4068780.6101,"present","present"
"51",434837.2774,4068830.6071,"present","present"
"52",434837.8176,4068880.6042,"present","present"
"53",434838.3577,4068930.6013,"present","present"
"54",434838.8978,4068980.5984,"present","present"
"55",434839.4379,4069030.5955,"present","present"
"56",434839.978,4069080.5926,"present","present"
"57",434840.5181,4069130.5896,"present","present"
"58",434841.0583,4069180.5867,"present","present"
"59",434841.5984,4069230.5838,"present","present"
"60",434842.1385,4069280.5809,"present","present"
"61",434842.6786,4069330.578,"present","present"
"62",434843.2187,4069380.575,"present","present"
"63",434843.7588,4069430.5721,"present","present"
"64",434844.299,4069480.5692,"present","present"
"65",434844.8391,4069530.5663,"present","present"
"66",434845.3792,4069580.5634,"present","present"
"67",434845.9193,4069630.5605,"present","present"
"68",434846.4594,4069680.5575,"present","present"
"69",434846.7372,4069706.27,"present","present"
"70",434822.1938,4066426.3981,"present","absent"
"71",434821.527,4066376.4025,"present","present"
"72",434820.8602,4066326.407,"present","present"
"73",434820.1934,4066276.4114,"present","absent"
"74",434819.5267,4066226.4159,"present","absent"
"75",434818.8599,4066176.4203,"present","present"
"76",434818.1931,4066126.4248,"present","present"
"77",434817.5263,4066076.4292,"present","present"
"78",434816.8595,4066026.4337,"present","present"
"79",434816.1927,4065976.4381,"present","present"
"80",434815.5259,4065926.4426,"present","present"
"81",434814.8592,4065876.447,"present","present"
"82",434814.1924,4065826.4515,"present","present"
"83",434813.5256,4065776.4559,"present","present"
"84",434812.8588,4065726.4603,"present","present"
"85",434812.192,4065676.4648,"present","present"
"86",434811.5252,4065626.4692,"present","present"
"87",434810.8585,4065576.4737,"present","present"
"88",434810.1917,4065526.4781,"present","present"
"89",434809.5249,4065476.4826,"present","present"
"90",434808.8581,4065426.487,"present","present"
"91",434808.1913,4065376.4915,"present","present"
"92",434807.5245,4065326.4959,"present","present"
"93",434806.8577,4065276.5004,"present","present"
"94",434806.191,4065226.5048,"present","present"
"95",434805.5242,4065176.5093,"present","present"
"96",434804.8574,4065126.5137,"present","present"
"97",434804.1906,4065076.5181,"present","present"
"98",434803.5238,4065026.5226,"present","present"
"99",434802.857,4064976.527,"present","present"
"100",434802.1902,4064926.5315,"present","present"
"101",434801.5235,4064876.5359,"present","present"
"102",434800.8567,4064826.5404,"present","present"
"103",434800.6874,4064813.8485,"present","present"
"104",434786.8736,4063197.4362,"present","present"
"105",434836.866,4063198.31,"present","present"
"106",434886.8583,4063199.1837,"present","present"
"107",434936.8507,4063200.0575,"present","present"
"108",434986.8431,4063200.9313,"present","present"
"109",435036.8354,4063201.805,"present","present"
"110",435086.8278,4063202.6788,"present","present"
"111",435136.8202,4063203.5526,"present","absent"
"112",435186.8125,4063204.4263,"present","present"
"113",435236.8049,4063205.3001,"present","present"
"114",435286.7972,4063206.1739,"present","present"
"115",435336.7896,4063207.0476,"present","present"
"116",435386.782,4063207.9214,"present","present"
"117",435436.7743,4063208.7952,"present","present"
"118",435486.7667,4063209.6689,"present","present"
"119",435536.7591,4063210.5427,"present","present"
"120",435586.7514,4063211.4165,"present","present"
"121",435636.7438,4063212.2902,"present","present"
"122",435686.7362,4063213.164,"present","present"
"123",435736.7285,4063214.0378,"present","present"
"124",435786.7209,4063214.9116,"present","present"
"125",435836.7133,4063215.7853,"present","present"
"126",435886.7056,4063216.6591,"present","present"
"127",435936.698,4063217.5329,"present","present"
"128",435986.6904,4063218.4066,"present","present"
"129",436036.6827,4063219.2804,"present","present"
"130",436086.6751,4063220.1542,"present","present"
"131",436136.6674,4063221.0279,"present","present"
"132",436186.6598,4063221.9017,"present","present"
"133",436236.6522,4063222.7755,"present","present"
"134",436286.6445,4063223.6492,"present","present"
"135",436336.6369,4063224.523,"present","present"
"136",436386.6293,4063225.3968,"present","present"
"137",436412.7153,4063225.8527,"present","present"
"138",423467.7288,4061724.8104,"present","present"
"139",423517.728,4061724.5197,"present","present"
"140",423567.7271,4061724.2291,"present","present"
"141",423617.7263,4061723.9384,"present","present"
"142",423667.7254,4061723.6478,"present","present"
"143",423717.7246,4061723.3571,"present","present"
"144",423767.7237,4061723.0665,"present","present"
"145",423817.7229,4061722.7758,"present","present"
"146",423867.722,4061722.4851,"present","present"
"147",423917.7212,4061722.1945,"present","present"
"148",423967.7204,4061721.9038,"present","present"
"149",424017.7195,4061721.6132,"present","present"
"150",424067.7187,4061721.3225,"present","present"
"151",424117.7178,4061721.0318,"present","present"
"152",424167.717,4061720.7412,"present","present"
"153",424217.7161,4061720.4505,"present","present"
"154",424267.7153,4061720.1599,"present","present"
"155",424317.7144,4061719.8692,"present","present"
"156",424367.7136,4061719.5786,"present","present"
"157",424417.7127,4061719.2879,"present","present"
"158",424467.7119,4061718.9972,"present","present"
"159",424517.7111,4061718.7066,"present","present"
"160",424567.7102,4061718.4159,"present","present"
"161",424617.7094,4061718.1253,"present","present"
"162",424667.7085,4061717.8346,"present","present"
"163",424717.7077,4061717.5439,"present","present"
"164",424767.7068,4061717.2533,"present","present"
"165",424817.706,4061716.9626,"present","present"
"166",424867.7051,4061716.672,"present","present"
"167",424917.7043,4061716.3813,"present","present"
"168",424967.7035,4061716.0907,"present","present"
"169",425017.7026,4061715.8,"present","present"
"170",425067.7018,4061715.5093,"present","present"
"171",425085.4255,4061715.4063,"present","present"
"172",431756.1022,4084302.4131,"absent","absent"
"173",431757.2298,4084352.4004,"absent","present"
"174",431758.3575,4084402.3877,"absent","present"
"175",431759.4851,4084452.3749,"absent","present"
"176",431760.6128,4084502.3622,"absent","present"
"177",431761.7404,4084552.3495,"absent","present"
"178",431762.8681,4084602.3368,"absent","absent"
"179",431763.9957,4084652.3241,"absent","absent"
"180",431765.1233,4084702.3114,"absent","absent"
"181",431766.251,4084752.2986,"absent","absent"
"182",431767.3786,4084802.2859,"absent","absent"
"183",431768.5063,4084852.2732,"absent","absent"
"184",431769.6339,4084902.2605,"absent","absent"
"185",431770.7616,4084952.2478,"absent","absent"
"186",431771.8892,4085002.2351,"absent","absent"
"187",431773.0168,4085052.2223,"absent","absent"
"188",431774.1445,4085102.2096,"absent","absent"
"189",431775.2721,4085152.1969,"absent","absent"
"190",431776.3998,4085202.1842,"absent","absent"
"191",431777.5274,4085252.1715,"absent","absent"
"192",431778.6551,4085302.1588,"absent","absent"
"193",431779.7827,4085352.146,"absent","absent"
"194",431780.9103,4085402.1333,"absent","absent"
"195",431782.038,4085452.1206,"absent","absent"
"196",431783.1656,4085502.1079,"absent","absent"
"197",431784.2933,4085552.0952,"absent","absent"
"198",431785.4209,4085602.0824,"absent","absent"
"199",431786.5486,4085652.0697,"absent","absent"
"200",431787.6762,4085702.057,"absent","absent"
"201",431788.8038,4085752.0443,"absent","absent"
"202",431789.9315,4085802.0316,"absent","absent"
"203",431791.0591,4085852.0189,"absent","absent"
"204",431792.1868,4085902.0061,"absent","absent"
"205",431792.4308,4085912.824,"absent","absent"
"206",430069.0237,4081073.8363,"absent","absent"
"207",430119.0236,4081073.7351,"absent","absent"
"208",430169.0235,4081073.6338,"absent","absent"
"209",430219.0234,4081073.5326,"absent","present"
"210",430269.0233,4081073.4313,"absent","present"
"211",430319.0232,4081073.3301,"absent","absent"
"212",430369.0231,4081073.2288,"absent","absent"
"213",430419.023,4081073.1276,"absent","absent"
"214",430469.0229,4081073.0263,"absent","absent"
"215",430519.0228,4081072.9251,"absent","present"
"216",430569.0227,4081072.8238,"absent","absent"
"217",430619.0226,4081072.7226,"absent","present"
"218",430669.0225,4081072.6213,"absent","absent"
"219",430719.0224,4081072.5201,"absent","absent"
"220",430769.0223,4081072.4188,"absent","present"
"221",430819.0222,4081072.3176,"absent","absent"
"222",430869.0221,4081072.2163,"absent","absent"
"223",430919.022,4081072.1151,"absent","present"
"224",430969.0219,4081072.0138,"absent","present"
"225",431019.0218,4081071.9126,"absent","present"
"226",431069.0216,4081071.8113,"absent","absent"
"227",431119.0215,4081071.7101,"absent","absent"
"228",431169.0214,4081071.6089,"absent","absent"
"229",431219.0213,4081071.5076,"absent","absent"
"230",431269.0212,4081071.4064,"absent","present"
"231",431319.0211,4081071.3051,"absent","present"
"232",431369.021,4081071.2039,"absent","present"
"233",431419.0209,4081071.1026,"absent","present"
"234",431469.0208,4081071.0014,"absent","absent"
"235",431519.0207,4081070.9001,"absent","absent"
"236",431569.0206,4081070.7989,"absent","present"
"237",431619.0205,4081070.6976,"absent","absent"
"238",431669.0204,4081070.5964,"absent","present"
"239",431683.529,4081070.567,"absent","present"
"240",414027.611,4090864.8771,"absent","absent"
"241",414028.4625,4090814.8844,"absent","absent"
"242",414029.3141,4090764.8916,"absent","absent"
"243",414030.1656,4090714.8989,"absent","absent"
"244",414031.0171,4090664.9061,"absent","absent"
"245",414031.8687,4090614.9134,"absent","absent"
"246",414032.7202,4090564.9206,"absent","absent"
"247",414033.5717,4090514.9279,"absent","absent"
"248",414034.4232,4090464.9351,"absent","absent"
"249",414035.2748,4090414.9424,"absent","absent"
"250",414036.1263,4090364.9496,"absent","absent"
"251",414036.9778,4090314.9569,"absent","absent"
"252",414037.8294,4090264.9641,"absent","absent"
"253",414038.6809,4090214.9714,"absent","absent"
"254",414039.5324,4090164.9786,"absent","absent"
"255",414040.384,4090114.9859,"absent","absent"
"256",414041.2355,4090064.9931,"absent","absent"
"257",414042.087,4090015.0004,"absent","absent"
"258",414042.9386,4089965.0076,"absent","absent"
"259",414043.7901,4089915.0149,"absent","absent"
"260",414044.6416,4089865.0221,"absent","present"
"261",414045.4932,4089815.0294,"absent","absent"
"262",414046.3447,4089765.0366,"absent","absent"
"263",414047.1962,4089715.0439,"absent","present"
"264",414048.0477,4089665.0511,"absent","absent"
"265",414048.8993,4089615.0584,"absent","absent"
"266",414049.7508,4089565.0656,"absent","absent"
"267",414050.6023,4089515.0729,"absent","absent"
"268",414051.4539,4089465.0801,"absent","absent"
"269",414052.3054,4089415.0874,"absent","absent"
"270",414053.1569,4089365.0946,"absent","absent"
"271",414054.0085,4089315.1019,"absent","absent"
"272",414054.86,4089265.1092,"absent","absent"
"273",414055.2019,4089245.0361,"absent","absent"
"274",430010.176,4073007.6914,"unknown","absent"
"275",430012.093,4073057.6546,"unknown","absent"
"276",430014.01,4073107.6179,"unknown","absent"
"277",430015.927,4073157.5811,"unknown","absent"
"278",430017.844,4073207.5443,"unknown","absent"
"279",430019.761,4073257.5076,"present","absent"
"280",430021.678,4073307.4708,"unknown","absent"
"281",430023.595,4073357.4341,"unknown","absent"
"282",430025.512,4073407.3973,"unknown","absent"
"283",430027.429,4073457.3605,"unknown","absent"
"284",430029.346,4073507.3238,"unknown","absent"
"285",430031.263,4073557.287,"unknown","absent"
"286",430033.18,4073607.2502,"present","absent"
"287",430035.097,4073657.2135,"unknown","absent"
"288",430037.014,4073707.1767,"present","absent"
"289",430038.931,4073757.14,"unknown","absent"
"290",430040.8481,4073807.1032,"unknown","present"
"291",430042.7651,4073857.0664,"unknown","absent"
"292",430044.6821,4073907.0297,"present","absent"
"293",430046.5991,4073956.9929,"unknown","present"
"294",430048.5161,4074006.9561,"unknown","present"
"295",430050.4331,4074056.9194,"unknown","absent"
"296",430052.3501,4074106.8826,"unknown","absent"
"297",430054.2671,4074156.8459,"present","absent"
"298",430056.1841,4074206.8091,"unknown","absent"
"299",430058.1011,4074256.7723,"unknown","absent"
"300",430060.0181,4074306.7356,"unknown","absent"
"301",430061.9351,4074356.6988,"present","absent"
"302",430063.8521,4074406.662,"unknown","absent"
"303",430065.7691,4074456.6253,"unknown","absent"
"304",430067.6861,4074506.5885,"present","absent"
"305",430069.6031,4074556.5518,"present","absent"
"306",430071.5201,4074606.515,"unknown","absent"
"307",430071.7566,4074612.6785,"unknown","absent"
"308",426855.6788,4076214.5913,"absent","absent"
"309",426855.5433,4076164.5915,"absent","absent"
"310",426855.4078,4076114.5917,"absent","absent"
"311",426855.2722,4076064.5919,"absent","absent"
"312",426855.1367,4076014.592,"absent","absent"
"313",426855.0012,4075964.5922,"absent","absent"
"314",426854.8657,4075914.5924,"absent","absent"
"315",426854.7302,4075864.5926,"absent","absent"
"316",426854.5947,4075814.5928,"absent","absent"
"317",426854.4591,4075764.593,"absent","absent"
"318",426854.3236,4075714.5931,"present","absent"
"319",426854.1881,4075664.5933,"absent","present"
"320",426854.0526,4075614.5935,"absent","present"
"321",426853.9171,4075564.5937,"absent","absent"
"322",426853.7816,4075514.5939,"absent","absent"
"323",426853.646,4075464.5941,"absent","absent"
"324",426853.5105,4075414.5942,"present","present"
"325",426853.375,4075364.5944,"present","absent"
"326",426853.2395,4075314.5946,"absent","absent"
"327",426853.104,4075264.5948,"unknown","present"
"328",426852.9685,4075214.595,"present","absent"
"329",426852.8329,4075164.5952,"present","present"
"330",426852.6974,4075114.5953,"unknown","absent"
"331",426852.5619,4075064.5955,"present","absent"
"332",426852.4264,4075014.5957,"unknown","present"
"333",426852.2909,4074964.5959,"unknown","present"
"334",426852.1554,4074914.5961,"unknown","present"
"335",426852.0198,4074864.5963,"unknown","present"
"336",426851.8843,4074814.5964,"present","present"
"337",426851.7488,4074764.5966,"present","present"
"338",426851.6133,4074714.5968,"unknown","present"
"339",426851.4778,4074664.597,"unknown","present"
"340",426851.3423,4074614.5972,"unknown","present"
"341",426851.2878,4074594.5043,"unknown","present"
"342",415607.3664,4082805.6829,"absent","absent"
"343",415606.677,4082755.6877,"absent","absent"
"344",415605.9876,4082705.6924,"absent","absent"
"345",415605.2982,4082655.6972,"absent","absent"
"346",415604.6089,4082605.7019,"absent","absent"
"347",415603.9195,4082555.7067,"absent","present"
"348",415603.2301,4082505.7114,"absent","absent"
"349",415602.5407,4082455.7162,"absent","absent"
"350",415601.8513,4082405.7209,"absent","absent"
"351",415601.1619,4082355.7257,"absent","absent"
"352",415600.4725,4082305.7304,"absent","absent"
"353",415599.7832,4082255.7352,"absent","absent"
"354",415599.0938,4082205.7399,"absent","absent"
"355",415598.4044,4082155.7447,"absent","absent"
"356",415597.715,4082105.7494,"absent","absent"
"357",415597.0256,4082055.7542,"absent","absent"
"358",415596.3362,4082005.7589,"absent","absent"
"359",415595.6468,4081955.7637,"absent","absent"
"360",415594.9574,4081905.7684,"absent","absent"
"361",415594.2681,4081855.7732,"absent","absent"
"362",415593.5787,4081805.778,"absent","absent"
"363",415592.8893,4081755.7827,"absent","absent"
"364",415592.1999,4081705.7875,"absent","absent"
"365",415591.5105,4081655.7922,"absent","absent"
"366",415590.8211,4081605.797,"absent","absent"
"367",415590.1317,4081555.8017,"absent","absent"
"368",415589.4424,4081505.8065,"absent","absent"
"369",415588.753,4081455.8112,"absent","absent"
"370",415588.0636,4081405.816,"absent","absent"
"371",415587.3742,4081355.8207,"absent","absent"
"372",415586.6848,4081305.8255,"absent","absent"
"373",415585.9954,4081255.8302,"absent","absent"
"374",415585.306,4081205.835,"absent","absent"
"375",415584.9258,4081178.2596,"absent","absent"
